PSGC,GEOLEVEL,LGUNAME
0102809030,BGY,Suyo
0102809031,BGY,San Marcos
0102809032,BGY,Elizabeth
0102810000,MUN,Dumalneg
0102810001,BGY,Cabaritan
0102810002,BGY,San Isidro
0102810003,BGY,Kalaw
0102810004,BGY,Quibel
0102811000,MUN,Banna
0102811001,BGY,Balioeg
0102811002,BGY,Bangsar
0102811003,BGY,Barbarangay
0102811004,BGY,Bomitog
0102811005,BGY,Bugasi
0102811006,BGY,Caestebanan
0102811008,BGY,Caribquib
0102811009,BGY,Catagtaguen
0102811011,BGY,Crispina
0102811012,BGY,Hilario
0102811013,BGY,Imelda
0102811014,BGY,Lorenzo
0102811015,BGY,Macayepyep
0102811016,BGY,Marcos
0102811017,BGY,Nagpatayan
0102811018,BGY,Valdez
0102811019,BGY,Sinamar
0102811020,BGY,Tabtabagan
0102811021,BGY,Valenciano
0102811022,BGY,Binacag
0102812000,CITY,City of Laoag
0102812001,BGY,"\""Bgy. No. 42, Apaya\"""
0102812002,BGY,"\""Bgy. No. 36, Araniw\"""
0102812003,BGY,"\""Bgy. No. 56-A, Bacsil North\"""
0102812004,BGY,"\""Bgy. No. 56-B, Bacsil South\"""
0102812005,BGY,"\""Bgy. No. 41, Balacad\"""
0102812006,BGY,"\""Bgy. No. 40, Balatong\"""
0102812007,BGY,"\""Bgy. No. 55-A, Barit-Pandan\"""
0102812008,BGY,"\""Bgy. No. 47, Bengcag\"""
0102812009,BGY,"\""Bgy. No. 50, Buttong\"""
0102812010,BGY,"\""Bgy. No. 60-A, Caaoacan\"""
0102812011,BGY,"\""Bry. No. 48-A, Cabungaan North\"""
0102812012,BGY,"\""Bgy. No. 48-B, Cabungaan South\"""
0102812013,BGY,"\""Bgy. No. 37, Calayab\"""
0102812014,BGY,"\""Bgy. No. 54-B, Camangaan\"""
0102812015,BGY,"\""Bgy. No. 58, Casili\"""
0102812016,BGY,"\""Bgy. No. 61, Cataban\"""
0102812017,BGY,"\""Bgy. No. 43, Cavit\"""
0102812019,BGY,"\""Bgy. No. 49-A, Darayday\"""
0102812020,BGY,"\""Bgy. No. 59-B, Dibua North\"""
0102812021,BGY,"\""Bgy. No. 59-A, Dibua South\"""
0102812022,BGY,"\""Bgy. No. 34-B, Gabu Norte East\"""
0102812023,BGY,"\""Bgy. No. 34-A, Gabu Norte West\"""
0102812024,BGY,"\""Bgy. No. 35, Gabu Sur\"""
0102812026,BGY,Bgy. No. 32-C La Paz East
0102812027,BGY,"\""Bgy. No. 33-B, La Paz Proper\"""
0102812028,BGY,"\""Bgy. No. 32-B, La Paz West\"""
0102812029,BGY,"\""Bgy. No. 54-A, Lagui-Sail\"""
0102812030,BGY,"\""Bgy. No. 32-A, La Paz East\"""
0102812031,BGY,"\""Bgy. No. 33-A, La Paz Proper\"""
0102812032,BGY,"\""Bgy. No. 52-B, Lataag\"""
0102812033,BGY,"\""Bgy. No. 60-B, Madiladig\"""
0102812034,BGY,"\""Bgy. No. 38-A, Mangato East\"""
0102812035,BGY,"\""Bgy. No. 38-B, Mangato West\"""
0102812036,BGY,"\""Bgy. No. 62-A, Navotas North\"""
0102812037,BGY,"\""Bgy. No. 62-B, Navotas South\"""
0102812038,BGY,"\""Bgy. No. 46, Nalbo\"""
0102812039,BGY,"\""Bgy. No. 51-A, Nangalisan East\"""
0102812040,BGY,"\""Bgy. No. 51-B, Nangalisan West\"""
0102812041,BGY,"\""Bgy. No. 24, Nstra. Sra. De Consolacion \"""
0102812042,BGY,"\""Bgy. No. 7-A, Nstra. Sra. De Natividad \"""
0102812043,BGY,"\""Bgy. No. 7-B, Nstra. Sra. De Natividad \"""
0102812044,BGY,"\""Bgy. No. 27, Nstra. Sra. De Soledad \"""
0102812045,BGY,"\""Bgy. No. 13, Nstra. Sra. De Visitacion \"""
0102812046,BGY,"\""Bgy. No. 3, Nstra. Sra. Del Rosario \"""
0102812047,BGY,"\""Bgy. No. 57, Pila\"""
0102812048,BGY,"\""Bgy. No. 49-B, Raraburan\"""
0102812049,BGY,"\""Bgy. No. 53, Rioeng\"""
0102812050,BGY,"\""Bgy. No. 55-B, Salet-Bulangon\"""
0102812053,BGY,"\""Bgy. No. 6, San Agustin \"""
0102812054,BGY,"\""Bgy. No. 22, San Andres \"""
0102812055,BGY,"\""Bgy. No. 28, San Bernardo \"""
0102812056,BGY,"\""Bgy. No. 17, San Francisco \"""
0102812057,BGY,"\""Bgy. No. 4, San Guillermo \"""
0102812058,BGY,"\""Bgy. No. 15, San Guillermo \"""
0102812059,BGY,"\""Bgy. No. 12, San Isidro \"""
0102812060,BGY,"\""Bgy. No. 16, San Jacinto \"""
0102812061,BGY,"\""Bgy. No. 10, San Jose \"""
0102812062,BGY,"\""Bgy. No. 1, San Lorenzo \"""
0102812063,BGY,"\""Bgy. No. 26, San Marcelino \"""
0102812064,BGY,"\""Bgy. No. 52-A, San Mateo\"""
0102812065,BGY,"\""Bgy. No. 23, San Matias \"""
0102812066,BGY,"\""Bgy. No. 20, San Miguel \"""
0102812067,BGY,"\""Bgy. No. 21, San Pedro \"""
0102812068,BGY,"\""Bgy. No. 5, San Pedro \"""
