PSGC,GEOLEVEL,LGUNAME
0304904021,BGY,Santa Rita
0304904022,BGY,Sinipit
0304904023,BGY,Polilio
0304904024,BGY,San Carlos
0304904025,BGY,Santa Isabel
0304904026,BGY,Santa Ines
0304905000,MUN,Carranglan
0304905001,BGY,R.A.Padilla
0304905002,BGY,Bantug
0304905004,BGY,Bunga
0304905005,BGY,Burgos
0304905007,BGY,Capintalan
0304905015,BGY,Joson
0304905020,BGY,General Luna
0304905030,BGY,Minuli
0304905041,BGY,Piut
0304905045,BGY,Puncan
0304905046,BGY,Putlan
0304905047,BGY,Salazar
0304905048,BGY,San Agustin
0304905052,BGY,T. L. Padilla Pob.
0304905053,BGY,F. C. Otic Pob.
0304905054,BGY,D. L. Maglanoc Pob.
0304905055,BGY,G. S. Rosario Pob.
0304906000,MUN,Cuyapo
0304906001,BGY,Baloy
0304906002,BGY,Bambanaba
0304906003,BGY,Bantug
0304906004,BGY,Bentigan
0304906005,BGY,Bibiclat
0304906006,BGY,Bonifacio
0304906007,BGY,Bued
0304906008,BGY,Bulala
0304906009,BGY,Burgos
0304906010,BGY,Cabileo
0304906011,BGY,Cabatuan
0304906012,BGY,Cacapasan
0304906013,BGY,Calancuasan Norte
0304906014,BGY,Calancuasan Sur
0304906015,BGY,Colosboa
0304906016,BGY,Columbitin
0304906017,BGY,Curva
0304906018,BGY,District I
0304906019,BGY,District II
0304906021,BGY,District IV
0304906022,BGY,District V
0304906023,BGY,District VI
0304906024,BGY,District VII
0304906025,BGY,District VIII
0304906026,BGY,Landig
0304906027,BGY,Latap
0304906028,BGY,Loob
0304906029,BGY,Luna
0304906030,BGY,Malbeg-Patalan
0304906031,BGY,Malineng
0304906032,BGY,Matindeg
0304906033,BGY,Maycaban
0304906034,BGY,Nagcuralan
0304906035,BGY,Nagmisahan
0304906036,BGY,Paitan Norte
0304906037,BGY,Paitan Sur
0304906038,BGY,Piglisan
0304906039,BGY,Pugo
0304906040,BGY,Rizal
0304906041,BGY,Sabit
0304906042,BGY,Salagusog
0304906043,BGY,San Antonio
0304906044,BGY,San Jose
0304906045,BGY,San Juan
0304906046,BGY,Santa Clara
0304906047,BGY,Santa Cruz
0304906048,BGY,Simimbaan
0304906049,BGY,Tagtagumbao
0304906050,BGY,Tutuloy
0304906051,BGY,Ungab
0304906052,BGY,Villaflores
0304907000,MUN,Gabaldon
0304907001,BGY,Bagong Sikat
0304907002,BGY,Bagting
0304907003,BGY,Bantug
0304907004,BGY,Bitulok
0304907005,BGY,Bugnan
0304907006,BGY,Calabasa
0304907007,BGY,Camachile
0304907008,BGY,Cuyapa
0304907009,BGY,Ligaya
0304907010,BGY,Macasandal
0304907011,BGY,Malinao
0304907012,BGY,Pantoc
0304907013,BGY,Pinamalisan
0304907014,BGY,South Poblacion
0304907015,BGY,Sawmill
0304907016,BGY,Tagumpay
0304908000,CITY,City of Gapan
0304908001,BGY,Bayanihan
0304908002,BGY,Bulak
0304908003,BGY,Kapalangan
0304908004,BGY,Mahipon
0304908005,BGY,Malimba
0304908006,BGY,Mangino
0304908007,BGY,Marelo
0304908008,BGY,Pambuan
0304908009,BGY,Parcutela
0304908010,BGY,San Lorenzo
0304908011,BGY,San Nicolas
0304908012,BGY,San Roque
0304908013,BGY,San Vicente
0304908014,BGY,Santa Cruz
0304908015,BGY,Santo Cristo Norte
0304908016,BGY,Santo Cristo Sur
0304908017,BGY,Santo Ni o
0304908018,BGY,Makabaclay
0304908019,BGY,Balante
0304908020,BGY,Bungo
0304908021,BGY,Mabunga
0304908022,BGY,Maburak
0304908023,BGY,Puting Tubig
0304909000,MUN,General Mamerto Natividad
0304909002,BGY,Balangkare Norte
0304909003,BGY,Balangkare Sur
0304909004,BGY,Balaring
0304909005,BGY,Belen
0304909006,BGY,Bravo
0304909007,BGY,Burol
0304909009,BGY,Kabulihan
0304909010,BGY,Mag-asawang Sampaloc
0304909011,BGY,Manarog
0304909012,BGY,Mataas na Kahoy
0304909014,BGY,Panacsac
0304909016,BGY,Picaleon
0304909017,BGY,Pinahan
0304909018,BGY,Platero
0304909019,BGY,Poblacion
0304909020,BGY,Pula
0304909021,BGY,Pulong Singkamas
0304909023,BGY,Sapang Bato
0304909025,BGY,Talabutab Norte
0304909026,BGY,Talabutab Sur
0304910000,MUN,General Tinio
0304910001,BGY,Bago
0304910002,BGY,Concepcion
0304910003,BGY,Nazareth
0304910004,BGY,Padolina
0304910005,BGY,Pias
0304910006,BGY,San Pedro
0304910007,BGY,Poblacion East
0304910008,BGY,Poblacion West
0304910014,BGY,Rio Chico
0304910015,BGY,Poblacion Central
0304910016,BGY,Pulong Matong
0304910017,BGY,Sampaguita
0304910018,BGY,Palale
0304911000,MUN,Guimba
0304911001,BGY,Agcano
0304911002,BGY,Ayos Lomboy
0304911003,BGY,Bacayao
0304911004,BGY,Bagong Barrio
0304911005,BGY,Balbalino
0304911006,BGY,Balingog East
0304911007,BGY,Balingog West
0304911008,BGY,Banitan
0304911009,BGY,Bantug
0304911011,BGY,Bulakid
0304911014,BGY,Caballero
0304911015,BGY,Cabaruan
0304911016,BGY,Caingin Tabing Ilog
0304911017,BGY,Calem
0304911018,BGY,Camiing
0304911019,BGY,Cardinal
0304911020,BGY,Casongsong
0304911021,BGY,Catimon
0304911022,BGY,Cavite
0304911023,BGY,Cawayan Bugtong
0304911024,BGY,Consuelo
0304911025,BGY,Culong
0304911026,BGY,Escano
0304911027,BGY,Faigal
0304911028,BGY,Galvan
0304911029,BGY,Guiset
0304911030,BGY,Lamorito
0304911031,BGY,Lennec
0304911032,BGY,Macamias
0304911033,BGY,Macapabellag
0304911034,BGY,Macatcatuit
0304911035,BGY,Manacsac
0304911036,BGY,Manggang Marikit
0304911038,BGY,Maturanoc
0304911039,BGY,Maybubon
0304911041,BGY,Naglabrahan
0304911042,BGY,Nagpandayan
0304911043,BGY,Narvacan I
0304911044,BGY,Narvacan II
0304911045,BGY,Pacac
0304911046,BGY,Partida I
0304911047,BGY,Partida II
0304911048,BGY,Pasong Inchic
0304911049,BGY,Saint John District
0304911050,BGY,San Agustin
0304911051,BGY,San Andres
0304911052,BGY,San Bernardino
0304911053,BGY,San Marcelino
0304911054,BGY,San Miguel
0304911055,BGY,San Rafael
0304911056,BGY,San Roque
0304911057,BGY,Santa Ana
0304911058,BGY,Santa Cruz
0304911059,BGY,Santa Lucia
0304911060,BGY,Santa Veronica District
0304911061,BGY,Santo Cristo District
0304911062,BGY,Saranay District
0304911063,BGY,Sinulatan
0304911064,BGY,Subol
0304911065,BGY,Tampac I
0304911066,BGY,Tampac II & III
0304911068,BGY,Triala
0304911069,BGY,Yuson
0304911070,BGY,Bunol
0304912000,MUN,Jaen
0304912001,BGY,Calabasa
0304912002,BGY,Dampulan
0304912003,BGY,Hilera
0304912004,BGY,Imbunia
0304912005,BGY,Imelda Pob.
0304912006,BGY,Lambakin
0304912007,BGY,Langla
0304912008,BGY,Magsalisi
0304912010,BGY,Malabon-Kaingin
0304912012,BGY,Marawa
0304912013,BGY,Don Mariano Marcos
0304912014,BGY,San Josef
0304912015,BGY,Niyugan
0304912016,BGY,Pamacpacan
0304912017,BGY,Pakol
0304912018,BGY,Pinanggaan
0304912019,BGY,Ulanin-Pitak
0304912020,BGY,Putlod
0304912021,BGY,Ocampo-Rivera District
0304912022,BGY,San Jose
0304912023,BGY,San Pablo
0304912024,BGY,San Roque
0304912025,BGY,San Vicente
0304912026,BGY,Santa Rita
0304912027,BGY,Santo Tomas North
0304912028,BGY,Santo Tomas South
0304912029,BGY,Sapang
0304913000,MUN,Laur
0304913001,BGY,Barangay I
0304913002,BGY,Barangay II
0304913003,BGY,Barangay III
0304913004,BGY,Barangay IV
0304913005,BGY,Betania
0304913006,BGY,Canantong
0304913009,BGY,Nauzon
0304913011,BGY,Pangarulong
0304913013,BGY,Pinagbayanan
0304913016,BGY,Sagana
0304913017,BGY,San Fernando
0304913018,BGY,San Isidro
0304913019,BGY,San Josef
0304913020,BGY,San Juan
0304913021,BGY,San Vicente
0304913022,BGY,Siclong
0304913023,BGY,San Felipe
0304914000,MUN,Licab
0304914002,BGY,Linao
0304914003,BGY,Poblacion Norte
0304914004,BGY,Poblacion Sur
0304914005,BGY,San Casimiro
0304914006,BGY,San Cristobal
0304914007,BGY,San Jose
0304914008,BGY,San Juan
0304914009,BGY,Santa Maria
0304914011,BGY,Tabing Ilog
0304914012,BGY,Villarosa
0304914013,BGY,Aquino
0304915000,MUN,Llanera
0304915001,BGY,A. Bonifacio
0304915002,BGY,Caridad Norte
0304915003,BGY,Caridad Sur
0304915004,BGY,Casile
0304915005,BGY,Florida Blanca
0304915006,BGY,General Luna
0304915008,BGY,General Ricarte
0304915009,BGY,Gomez
0304915010,BGY,Inanama
0304915011,BGY,Ligaya
0304915012,BGY,Mabini
0304915013,BGY,Murcon
0304915015,BGY,Plaridel
0304915016,BGY,Bagumbayan
0304915018,BGY,San Felipe
0304915019,BGY,San Francisco
0304915020,BGY,San Nicolas
0304915021,BGY,San Vicente
0304915022,BGY,Santa Barbara
0304915023,BGY,Victoria
0304915024,BGY,Villa Viniegas
0304915025,BGY,Bosque
0304916000,MUN,Lupao
0304916002,BGY,Agupalo Este
0304916003,BGY,Agupalo Weste
0304916004,BGY,Alalay Chica
0304916005,BGY,Alalay Grande
0304916006,BGY,J. U. Tienzo
0304916007,BGY,Bagong Flores
0304916008,BGY,Balbalungao
0304916010,BGY,Burgos
0304916013,BGY,Cordero
0304916016,BGY,Mapangpang
0304916017,BGY,Namulandayan
0304916018,BGY,Parista
0304916020,BGY,Poblacion East
0304916021,BGY,Poblacion North
0304916022,BGY,Poblacion South
0304916023,BGY,Poblacion West
0304916025,BGY,Salvacion I
0304916026,BGY,Salvacion II
0304916028,BGY,San Antonio Este
0304916029,BGY,San Antonio Weste
0304916030,BGY,San Isidro
0304916032,BGY,San Pedro
0304916033,BGY,San Roque
0304916034,BGY,Santo Domingo
0304917000,CITY,Science City of Mu oz
0304917001,BGY,Bagong Sikat
0304917002,BGY,Balante
0304917003,BGY,Bantug
0304917004,BGY,Bical
0304917005,BGY,Cabisuculan
0304917006,BGY,Calabalabaan
0304917007,BGY,Calisitan
0304917008,BGY,Catalanacan
0304917009,BGY,Curva
0304917010,BGY,Franza
0304917011,BGY,Gabaldon
0304917012,BGY,Labney
0304917013,BGY,Licaong
0304917014,BGY,Linglingay
0304917016,BGY,Mangandingay
0304917017,BGY,Magtanggol
0304917018,BGY,Maligaya
0304917019,BGY,Mapangpang
0304917020,BGY,Maragol
0304917021,BGY,Matingkis
0304917022,BGY,Naglabrahan
0304917024,BGY,Palusapis
0304917025,BGY,Pandalla
0304917026,BGY,Poblacion East
0304917027,BGY,Poblacion North
0304917028,BGY,Poblacion South
0304917029,BGY,Poblacion West
0304917030,BGY,Rang-ayan
0304917031,BGY,Rizal
0304917032,BGY,San Andres
0304917033,BGY,San Antonio
0304917034,BGY,San Felipe
0304917035,BGY,Sapang Cawayan
0304917036,BGY,Villa Isla
0304917037,BGY,Villa Nati
0304917038,BGY,Villa Santos
0304917040,BGY,Villa Cuizon
0304918000,MUN,Nampicuan
0304918001,BGY,Alemania
0304918002,BGY,Ambasador Alzate Village
0304918003,BGY,Cabaducan East
0304918004,BGY,Cabaducan West
0304918005,BGY,Cabawangan
0304918008,BGY,East Central Poblacion
0304918009,BGY,Edy
0304918011,BGY,Maeling
0304918012,BGY,Mayantoc
0304918013,BGY,Medico
0304918014,BGY,Monic
0304918016,BGY,North Poblacion
0304918017,BGY,Northwest Poblacion
0304918019,BGY,Estacion
0304918021,BGY,West Poblacion
0304918023,BGY,Recuerdo
0304918024,BGY,South Central Poblacion
0304918025,BGY,Southeast Poblacion
0304918026,BGY,Southwest Poblacion
0304918027,BGY,Tony
0304918028,BGY,West Central Poblacion
0304919000,CITY,City of Palayan
0304919001,BGY,Aulo
0304919003,BGY,Bo. Militar
0304919004,BGY,Ganaderia
0304919005,BGY,Maligaya
0304919006,BGY,Manacnac
0304919007,BGY,Mapait
0304919008,BGY,Marcos Village
0304919010,BGY,Malate
0304919011,BGY,Sapang Buho
0304919012,BGY,Singalat
0304919013,BGY,Atate
0304919014,BGY,Caballero
0304919015,BGY,Caimito
0304919016,BGY,Do a Josefa
0304919017,BGY,Imelda Valley
0304919018,BGY,Langka
0304919020,BGY,Santolan
0304919021,BGY,Popolon Pagas
0304919022,BGY,Bagong Buhay
0304920000,MUN,Pantabangan
0304920001,BGY,Cadaclan
0304920003,BGY,Cambitala
0304920004,BGY,Conversion
0304920005,BGY,Ganduz
0304920007,BGY,Liberty
0304920009,BGY,Malbang
0304920010,BGY,Marikit
0304920011,BGY,Napon-Napon
0304920012,BGY,Poblacion East
0304920013,BGY,Poblacion West
0304920014,BGY,Sampaloc
0304920015,BGY,San Juan
0304920016,BGY,Villarica
0304920017,BGY,Fatima
0304921000,MUN,Pe aranda
0304921001,BGY,Callos
0304921003,BGY,Las Pi as
0304921006,BGY,Poblacion I
0304921007,BGY,Poblacion II
0304921008,BGY,Poblacion III
0304921009,BGY,Poblacion IV
0304921012,BGY,Santo Tomas
0304921013,BGY,Sinasajan
0304921014,BGY,San Josef
0304921015,BGY,San Mariano
0304922000,MUN,Quezon
0304922001,BGY,Bertese
0304922004,BGY,Do a Lucia
0304922005,BGY,Dulong Bayan
0304922006,BGY,Ilog Baliwag
0304922010,BGY,Barangay I
0304922011,BGY,Barangay II
0304922012,BGY,Pulong Bahay
0304922013,BGY,San Alejandro
0304922014,BGY,San Andres I
0304922015,BGY,San Andres II
0304922017,BGY,San Manuel
0304922018,BGY,Santa Clara
0304922019,BGY,Santa Rita
0304922020,BGY,Santo Cristo
0304922022,BGY,Santo Tomas Feria
0304922024,BGY,San Miguel
0304923000,MUN,Rizal
0304923002,BGY,Agbannawag
0304923005,BGY,Bicos
0304923006,BGY,Cabucbucan
0304923007,BGY,Calaocan District
0304923008,BGY,Canaan East
0304923009,BGY,Canaan West
0304923010,BGY,Casilagan
0304923011,BGY,Aglipay
0304923012,BGY,Del Pilar
0304923013,BGY,Estrella
0304923016,BGY,General Luna
0304923018,BGY,Macapsing
0304923019,BGY,Maligaya
0304923021,BGY,Paco Roman
0304923022,BGY,Pag-asa
0304923025,BGY,Poblacion Central
0304923026,BGY,Poblacion East
0304923027,BGY,Poblacion Norte
0304923028,BGY,Poblacion Sur
0304923029,BGY,Poblacion West
0304923030,BGY,Portal
0304923031,BGY,San Esteban
0304923032,BGY,Santa Monica
0304923033,BGY,Villa Labrador
0304923034,BGY,Villa Paraiso
0304923035,BGY,San Gregorio
0304924000,MUN,San Antonio
0304924001,BGY,Buliran
0304924002,BGY,Cama Juan
0304924003,BGY,Julo
0304924004,BGY,Lawang Kupang
0304924005,BGY,Luyos
0304924006,BGY,Maugat
0304924007,BGY,Panabingan
0304924008,BGY,Papaya
0304924009,BGY,Poblacion
0304924011,BGY,San Francisco
0304924012,BGY,San Jose
0304924013,BGY,San Mariano
0304924014,BGY,Santa Cruz
0304924015,BGY,Santo Cristo
0304924016,BGY,Santa Barbara
0304924017,BGY,Tikiw
0304925000,MUN,San Isidro
0304925001,BGY,Alua
0304925002,BGY,Calaba
0304925004,BGY,Malapit
0304925005,BGY,Mangga
0304925006,BGY,Poblacion
0304925008,BGY,Pulo
0304925010,BGY,San Roque
0304925011,BGY,Sto. Cristo
0304925012,BGY,Tabon
0304926000,CITY,San Jose City
0304926001,BGY,A. Pascual
0304926002,BGY,Abar Ist
0304926003,BGY,Abar 2nd
0304926004,BGY,Bagong Sikat
0304926005,BGY,Caanawan
0304926006,BGY,Calaocan
0304926007,BGY,Camanacsacan
0304926008,BGY,Culaylay
0304926009,BGY,Dizol
0304926010,BGY,Kaliwanagan
0304926011,BGY,Kita-Kita
0304926012,BGY,Malasin
0304926013,BGY,Manicla
0304926014,BGY,Palestina
0304926015,BGY,Parang Mangga
0304926016,BGY,Villa Joson
0304926017,BGY,Pinili
0304926019,BGY,"\""Rafael Rueda, Sr. Pob.\"""
0304926020,BGY,Ferdinand E. Marcos Pob.
0304926021,BGY,Canuto Ramos Pob.
0304926022,BGY,Raymundo Eugenio Pob.
0304926023,BGY,Crisanto Sanchez Pob.
0304926024,BGY,Porais
0304926027,BGY,San Agustin
0304926028,BGY,San Juan
0304926029,BGY,San Mauricio
0304926030,BGY,Santo Ni o 1st
0304926031,BGY,Santo Ni o 2nd
0304926032,BGY,Santo Tomas
0304926033,BGY,Sibut
0304926034,BGY,Sinipit Bubon
0304926035,BGY,Santo Ni o 3rd
0304926036,BGY,Tabulac
0304926037,BGY,Tayabo
0304926038,BGY,Tondod
0304926039,BGY,Tulat
0304926040,BGY,Villa Floresca
0304926042,BGY,Villa Marina
0304927000,MUN,San Leonardo
0304927002,BGY,Bonifacio District
0304927003,BGY,Burgos District
0304927004,BGY,Castellano
0304927005,BGY,Diversion
0304927006,BGY,Magpapalayoc
0304927007,BGY,Mallorca
0304927008,BGY,Mambangnan
0304927009,BGY,Nieves
0304927010,BGY,San Bartolome
0304927011,BGY,Rizal District
0304927012,BGY,San Anton
0304927013,BGY,San Roque
0304927014,BGY,Tabuating
0304927015,BGY,Tagumpay
0304927016,BGY,Tambo Adorable
0304928000,MUN,Santa Rosa
0304928001,BGY,Cojuangco
0304928002,BGY,La Fuente
0304928003,BGY,Liwayway
0304928004,BGY,Malaca ang
0304928005,BGY,Maliolio
0304928007,BGY,Mapalad
0304928010,BGY,Rizal
0304928011,BGY,Rajal Centro
0304928012,BGY,Rajal Norte
0304928013,BGY,Rajal Sur
0304928015,BGY,San Gregorio
0304928016,BGY,San Mariano
0304928017,BGY,San Pedro
0304928018,BGY,Santo Rosario
0304928019,BGY,Soledad
0304928020,BGY,Valenzuela
0304928021,BGY,Zamora
0304928022,BGY,Aguinaldo
0304928023,BGY,Berang
0304928024,BGY,Burgos
0304928025,BGY,Del Pilar
0304928026,BGY,Gomez
0304928027,BGY,Inspector
0304928028,BGY,Isla
0304928029,BGY,Lourdes
0304928030,BGY,Luna
0304928031,BGY,Mabini
0304928032,BGY,San Isidro
0304928033,BGY,San Josep
0304928034,BGY,Santa Teresita
0304928035,BGY,Sapsap
0304928036,BGY,Tagpos
0304928037,BGY,Tramo
0304929000,MUN,Santo Domingo
0304929002,BGY,Baloc
0304929004,BGY,Buasao
0304929005,BGY,Burgos
0304929006,BGY,Cabugao
0304929007,BGY,Casulucan
0304929008,BGY,Comitang
0304929009,BGY,Concepcion
0304929011,BGY,Dolores
0304929012,BGY,General Luna
0304929014,BGY,Hulo
0304929016,BGY,Mabini
0304929017,BGY,Malasin
0304929019,BGY,Malayantoc
0304929020,BGY,Mambarao
0304929023,BGY,Poblacion
0304929024,BGY,Malaya
0304929026,BGY,Pulong Buli
0304929029,BGY,Sagaba
0304929030,BGY,San Agustin
0304929031,BGY,San Fabian
0304929032,BGY,San Francisco
0304929033,BGY,San Pascual
0304929034,BGY,Santa Rita
0304929036,BGY,Santo Rosario
0304930000,MUN,Talavera
0304930001,BGY,Andal Alino
0304930002,BGY,Bagong Sikat
0304930003,BGY,Bagong Silang
0304930004,BGY,Bakal I
0304930005,BGY,Bakal II
0304930006,BGY,Bakal III
0304930008,BGY,Baluga
0304930009,BGY,Bantug
0304930010,BGY,Bantug Hacienda
0304930011,BGY,Bantug Hamog
0304930012,BGY,Bugtong na Buli
0304930013,BGY,Bulac
0304930014,BGY,Burnay
0304930015,BGY,Calipahan
0304930016,BGY,Campos
0304930018,BGY,Casulucan Este
0304930019,BGY,Collado
0304930020,BGY,Dimasalang Norte
0304930021,BGY,Dimasalang Sur
0304930022,BGY,Dinarayat
0304930024,BGY,Esguerra District
0304930025,BGY,Gulod
0304930026,BGY,Homestead I
0304930027,BGY,Homestead II
0304930028,BGY,Cabubulaonan
0304930029,BGY,Caaniplahan
0304930030,BGY,Caputican
0304930031,BGY,Kinalanguyan
0304930032,BGY,La Torre
0304930033,BGY,Lomboy
0304930034,BGY,Mabuhay
0304930035,BGY,Maestrang Kikay
0304930036,BGY,Mamandil
0304930037,BGY,Marcos District
0304930038,BGY,Purok Matias
0304930039,BGY,Matingkis
0304930041,BGY,Minabuyoc
0304930042,BGY,Pag-asa
0304930043,BGY,Paludpod
0304930044,BGY,Pantoc Bulac
0304930045,BGY,Pinagpanaan
0304930046,BGY,Poblacion Sur
0304930047,BGY,Pula
0304930048,BGY,Pulong San Miguel
0304930049,BGY,Sampaloc
0304930050,BGY,San Miguel na Munti
0304930051,BGY,San Pascual
0304930052,BGY,San Ricardo
0304930053,BGY,Sibul
0304930054,BGY,Sicsican Matanda
0304930055,BGY,Tabacao
0304930056,BGY,Tagaytay
0304930057,BGY,Valle
0304931000,MUN,Talugtug
0304931002,BGY,Alula
0304931003,BGY,Baybayabas
0304931004,BGY,Buted
0304931005,BGY,Cabiangan
0304931006,BGY,Calisitan
0304931007,BGY,Cinense
0304931008,BGY,Culiat
0304931009,BGY,Maasin
0304931010,BGY,Magsaysay
0304931011,BGY,Mayamot I
0304931012,BGY,Mayamot II
0304931013,BGY,Nangabulan
0304931014,BGY,Osme a
0304931015,BGY,Pangit
0304931016,BGY,Patola
0304931017,BGY,Quezon
0304931018,BGY,Quirino
0304931020,BGY,Roxas
0304931021,BGY,Saguing
0304931022,BGY,Sampaloc
0304931023,BGY,Santa Catalina
0304931024,BGY,Santo Domingo
0304931025,BGY,Saringaya
0304931026,BGY,Saverona
0304931027,BGY,Tandoc
0304931028,BGY,Tibag
0304931029,BGY,Villa Rosario
0304931030,BGY,Villa Boado
0304932000,MUN,Zaragoza
0304932001,BGY,Batitang
0304932003,BGY,Carmen
0304932004,BGY,Concepcion
0304932005,BGY,Del Pilar
0304932008,BGY,General Luna
0304932009,BGY,H. Romero
0304932011,BGY,Macarse
0304932012,BGY,Manaul
0304932013,BGY,Mayamot
0304932015,BGY,Pantoc
0304932017,BGY,San Vicente
0304932020,BGY,San Isidro
0304932021,BGY,San Rafael
0304932022,BGY,Santa Cruz
0304932024,BGY,Santa Lucia Old
0304932025,BGY,Santa Lucia Young
0304932026,BGY,Santo Rosario Old
0304932027,BGY,Santo Rosario Young
0304932030,BGY,Valeriana
0305400000,PROV,Pampanga
0305402000,MUN,Apalit
0305402001,BGY,Balucuc
0305402003,BGY,Calantipe
0305402004,BGY,Cansinala
0305402005,BGY,Capalangan
0305402007,BGY,Colgante
0305402009,BGY,Paligui
0305402010,BGY,Sampaloc
0305402011,BGY,San Juan
0305402012,BGY,San Vicente
0305402013,BGY,Sucad
0305402014,BGY,Sulipan
0305402015,BGY,Tabuyuc
0305403000,MUN,Arayat
0305403001,BGY,Arenas
0305403002,BGY,Baliti
0305403003,BGY,Batasan
0305403005,BGY,Buensuceso
0305403007,BGY,Candating
0305403008,BGY,Gatiawin
0305403009,BGY,Guemasan
0305403010,BGY,La Paz
0305403011,BGY,Lacmit
0305403012,BGY,Lacquios
0305403013,BGY,Mangga-Cacutud
0305403014,BGY,Mapalad
0305403015,BGY,Panlinlang
0305403016,BGY,Paralaya
0305403017,BGY,Plazang Luma
0305403018,BGY,Poblacion
0305403020,BGY,San Agustin Norte
0305403021,BGY,San Agustin Sur
0305403022,BGY,San Antonio
0305403025,BGY,San Jose Mesulo
0305403026,BGY,San Juan Bano
0305403027,BGY,San Mateo
0305403028,BGY,San Nicolas
0305403029,BGY,San Roque Bitas
0305403030,BGY,Cupang
0305403031,BGY,Matamo
0305403032,BGY,Santo Ni o Tabuan
0305403034,BGY,Suclayin
0305403035,BGY,Telapayong
0305403036,BGY,Kaledian
0305404000,MUN,Bacolor
0305404001,BGY,Balas
0305404002,BGY,Cabalantian
0305404003,BGY,Cabambangan
0305404004,BGY,Cabetican
0305404005,BGY,Calibutbut
0305404006,BGY,Concepcion
0305404007,BGY,Dolores
0305404008,BGY,Duat
0305404009,BGY,Macabacle
0305404010,BGY,Magliman
0305404011,BGY,Maliwalu
0305404012,BGY,Mesalipit
0305404013,BGY,Parulog
0305404015,BGY,Potrero
0305404016,BGY,San Antonio
0305404018,BGY,San Isidro
0305404019,BGY,San Vicente
0305404020,BGY,Santa Barbara
0305404021,BGY,Santa Ines
0305404023,BGY,Talba
0305404024,BGY,Tinajero
0305405000,MUN,Candaba
0305405001,BGY,Bahay Pare
0305405002,BGY,Bambang
0305405003,BGY,Barangca
0305405004,BGY,Barit
0305405005,BGY,Buas
0305405008,BGY,Cuayang Bugtong
0305405009,BGY,Dalayap
0305405010,BGY,Dulong Ilog
0305405011,BGY,Gulap
0305405012,BGY,Lanang
0305405013,BGY,Lourdes
0305405014,BGY,Magumbali
0305405015,BGY,Mandasig
0305405016,BGY,Mandili
0305405017,BGY,Mangga
0305405018,BGY,Mapaniqui
0305405020,BGY,Paligui
0305405021,BGY,Pangclara
0305405022,BGY,Pansinao
0305405023,BGY,Paralaya
0305405024,BGY,Pasig
0305405025,BGY,Pescadores
0305405026,BGY,Pulong Gubat
0305405027,BGY,Pulong Palazan
0305405028,BGY,Salapungan
0305405029,BGY,San Agustin
0305405031,BGY,Santo Rosario
0305405032,BGY,Tagulod
0305405033,BGY,Talang
0305405034,BGY,Tenejero
0305405035,BGY,Vizal San Pablo
0305405036,BGY,Vizal Santo Cristo
0305405037,BGY,Vizal Santo Ni o
0305406000,MUN,Floridablanca
0305406001,BGY,Anon
0305406002,BGY,Apalit
0305406003,BGY,Basa Air Base
0305406004,BGY,Benedicto
0305406005,BGY,Bodega
0305406006,BGY,Cabangcalan
0305406007,BGY,Calantas
0305406008,BGY,Carmencita
0305406009,BGY,Consuelo
0305406010,BGY,Dampe
0305406011,BGY,Del Carmen
0305406012,BGY,Fortuna
0305406013,BGY,Gutad
0305406014,BGY,Mabical
0305406015,BGY,Sto. Rosario
0305406016,BGY,Maligaya
0305406017,BGY,Nabuclod
0305406018,BGY,Pabanlag
0305406019,BGY,Paguiruan
0305406020,BGY,Palmayo
0305406021,BGY,Pandaguirig
0305406023,BGY,Poblacion
0305406024,BGY,San Antonio
0305406025,BGY,San Isidro
0305406026,BGY,San Jose
0305406027,BGY,San Nicolas
0305406028,BGY,San Pedro
0305406029,BGY,San Ramon
0305406030,BGY,San Roque
0305406031,BGY,Sta. Monica
0305406032,BGY,Solib
0305406033,BGY,Valdez
0305406034,BGY,Mawacat
0305407000,MUN,Guagua
0305407002,BGY,Bancal
0305407004,BGY,Jose Abad Santos
0305407005,BGY,Lambac
0305407006,BGY,Magsaysay
0305407007,BGY,Maquiapo
0305407008,BGY,Natividad
0305407009,BGY,Plaza Burgos
0305407010,BGY,Pulungmasle
0305407011,BGY,Rizal
0305407012,BGY,San Agustin
0305407013,BGY,San Antonio
0305407014,BGY,San Isidro
0305407015,BGY,San Jose
0305407016,BGY,San Juan Bautista
0305407017,BGY,San Juan Nepomuceno
0305407018,BGY,San Matias
0305407019,BGY,San Miguel
0305407020,BGY,San Nicolas 1st
0305407021,BGY,San Nicolas 2nd
0305407022,BGY,San Pablo
0305407023,BGY,San Pedro
0305407024,BGY,San Rafael
0305407025,BGY,San Roque
0305407026,BGY,San Vicente
0305407027,BGY,San Juan
0305407028,BGY,Santa Filomena
0305407029,BGY,Santa Ines
0305407030,BGY,Santa Ursula
0305407031,BGY,Santo Cristo
0305407033,BGY,Santo Ni o
0305407034,BGY,Ascomo
0305408000,MUN,Lubao
0305408001,BGY,Balantacan
0305408002,BGY,Bancal Sinubli
0305408003,BGY,Bancal Pugad
0305408004,BGY,Baruya
0305408005,BGY,Calangain
0305408006,BGY,Concepcion
0305408007,BGY,Del Carmen
0305408008,BGY,De La Paz
0305408009,BGY,Don Ignacio Dimson
0305408010,BGY,Lourdes
0305408011,BGY,Prado Siongco
0305408012,BGY,Remedios
0305408013,BGY,San Agustin
0305408014,BGY,San Antonio
